model,n_antennas,snap_n_samples,snap_n_samples_outside_grid,snap_unique_cells,snap_occupied_fraction_full,snap_occupied_fraction_annulus,snap_annulus_cells,snap_density_uniformity,snap_angular_uniformity,snap_uv_radius_min_lambda,snap_uv_radius_max_lambda,snap_uv_max_lambda,snap_n_cells,snap_cell_size_lambda,snap_total_cells,rot_n_samples,rot_n_samples_outside_grid,rot_unique_cells,rot_occupied_fraction_full,rot_occupied_fraction_annulus,rot_annulus_cells,rot_density_uniformity,rot_angular_uniformity,rot_uv_radius_min_lambda,rot_uv_radius_max_lambda,rot_uv_max_lambda,rot_n_cells,rot_cell_size_lambda,rot_total_cells,rot_red_n_samples,rot_red_unique_cells,rot_red_redundant_samples,rot_red_redundancy_fraction,rot_red_mean_multiplicity,rot_red_max_multiplicity,n_baselines,d_min_m,d_max_m,d_mean_m,d_median_m,dynamic_range,log_spacing_uniformity,powerlaw_alpha,powerlaw_intercept,powerlaw_r_squared,powerlaw_n_bins_used,psf_peak,psf_main_lobe_radius_px,psf_peak_sidelobe_level,psf_sidelobe_rms,psf_min_value,psf_fwhm_px,psf_ellipticity,psf_fwhm_arcsec,psf_pixel_scale_arcsec,sep_valid,sep_violations,sep_min_m,sep_d_min_m,experiment,label
golden,10,90,0,88,0.0013427734375,0.0022361835800234265,37564,0.9981386958695595,0.8670489122034029,84542.07333541942,1571371.729418449,1836296.9611078056,256,14346.070008654731,65536,3690,0,2092,0.03192138671875,0.05544912728820775,37584,0.9711242437262405,0.9854231602661597,76980.66899167445,1571344.441899761,1836316.208764395,256,14346.220380971836,65536,3690,2092,1598,0.43306233062330624,1.7638623326959848,18,45,84.48358656547215,1570.2846439802258,667.1463692503302,595.2630239043663,18.586860570405637,0.9056640514141997,0.48689282352315016,-0.9219699070088847,0.4826624226164401,17,1.0,2,0.23084831920933047,0.020965898453853868,-0.14088704414161,1.6596928417167423,1.0,0.09321276498908238,0.05616266012972953,True,0,84.48358656547215,9.0,A,N10
fibonacci_radial,10,90,0,88,0.0013427734375,0.002505124117513095,35128,0.9981386958695595,0.8790335935227592,43785.17752477814,1517586.9385057436,1836296.9611078056,256,14346.070008654731,65536,3690,0,1492,0.02276611328125,0.04234972677595628,35136,0.9415751064309116,0.9808294452312739,38828.07433829721,1517526.0573114003,1836316.208764395,256,14346.220380971836,65536,3690,1492,2198,0.5956639566395664,2.473190348525469,54,45,43.75488664706531,1516.5370617444391,465.2986797187045,366.7742494668723,34.659832945679796,0.9165671622839248,0.05304989253955307,0.14852329864183184,0.007140282252566799,19,1.0,3,0.3662447126689651,0.02461774120227212,-0.2313865104042245,2.033060463325768,1.0,0.11418208382495554,0.05616266012972953,True,0,43.75488664706531,9.0,A,N10
fibonacci_golden_angle,10,90,0,90,0.001373291015625,0.0018115942028985507,48576,1.0,0.9117426021847757,248871.5679726627,1801363.9524191828,1836296.9611078056,256,14346.070008654731,65536,3690,0,2738,0.041778564453125,0.0561479780165696,48764,0.987886886479179,0.9944072044435048,223389.90051543806,1801348.023511913,1836316.208764395,256,14346.220380971836,65536,3690,2738,952,0.25799457994579944,1.3476990504017532,6,45,248.69939696279542,1800.1177568278063,927.0630685476864,867.6278633170666,7.23812674582841,0.8856105812228963,0.5435323006312708,-1.183231348215821,0.2712892116063015,16,1.0,2,0.24969979330011893,0.01840576653089338,-0.1628055031996335,1.3109704889175045,0.0,0.07362759000917915,0.05616266012972953,True,0,248.69939696279542,9.0,A,N10
fibonacci_rational,10,90,0,88,0.0013427734375,0.0025034137460172965,35152,0.9981386958695595,0.8504278829082298,43694.92215839833,1518258.2023601036,1836296.9611078056,256,14346.070008654731,65536,3690,0,1522,0.023223876953125,0.04323094425483504,35160,0.9406371903208749,0.9803219153208733,38845.0538093064,1518166.1098943707,1836316.208764395,256,14346.220380971836,65536,3690,1522,2168,0.5875338753387533,2.4244415243101183,54,45,43.66469371994967,1517.2078612139894,465.3025058181057,366.93696843621103,34.746788124630825,0.9176066841447756,0.01440944033401223,0.25228669750985355,0.0005135797025335176,19,1.0,3,0.361740995844506,0.024347696309578042,-0.23315262254833388,2.027201635762901,1.0,0.11385303648378355,0.05616266012972953,True,0,43.66469371994967,9.0,A,N10
random,10,90,0,90,0.001373291015625,0.0023409236007661204,37592,1.0,0.8601622278868368,73028.9616438427,1570981.5125327474,1836296.9611078056,256,14346.070008654731,65536,3690,0,2536,0.0386962890625,0.06717370492500797,37604,0.9844397769454444,0.9874121675947256,64685.10510734911,1570979.9792924197,1836316.208764395,256,14346.220380971836,65536,3690,2536,1154,0.31273712737127374,1.4550473186119874,15,45,72.97843972131774,1569.894697049167,852.0604361320784,806.7336482637198,21.51176022732348,0.7634399276990841,0.6065418951626308,-1.1389150948041487,0.6845810242474818,11,1.0,2,0.24872088135146928,0.019115347762521807,-0.15911704520492995,1.4036295722347152,0.0,0.07883157061345596,0.05616266012972953,True,0,72.97843972131774,9.0,A,N10
rings,10,90,0,86,0.001312255859375,0.0016580853477615848,45836,0.9963741694202279,0.7137957916630236,28303.852040996208,1733249.8813918238,1836296.9611078056,256,14346.070008654731,65536,3690,0,1898,0.028961181640625,0.04097216161968758,45836,0.9450269656084594,0.9788653870977084,25628.194916290926,1733243.9691980286,1836316.208764395,256,14346.220380971836,65536,3690,1898,1792,0.4856368563685637,1.9441517386722866,54,45,28.2842712474619,1732.0508075688776,797.5417613782801,866.0831368869851,61.23724356957947,0.6109084843178859,0.2977919517267609,0.0015944034924915234,0.6561620307446183,7,1.0,2,0.41487152075786277,0.022399352431592898,-0.1756234506249862,1.3104806781471416,0.0,0.07360008093335539,0.05616266012972953,True,0,28.2842712474619,9.0,A,N10
golden,20,380,0,372,0.00567626953125,0.009970895763716719,37108,0.9986639824615818,0.9792288520144706,37001.22626220732,1733915.6696023652,2041412.2626126907,256,15948.533301661646,65536,15580,0,6872,0.1048583984375,0.18502748733426755,37108,0.9681220895442944,0.9978397162338903,36150.27827942416,1733852.297943232,2041412.2626126907,256,15948.533301661646,65536,15580,6872,8708,0.5589216944801026,2.2671711292200234,32,190,36.975628567204275,1732.7161351826965,630.6443425930314,596.7607503081193,46.86103258619214,0.8550594606321059,0.8178917125969887,-1.2008464802116292,0.6121998424707051,18,1.0,3,0.09013151575431,0.009760446407178658,-0.09013151575431,2.0185480030727185,0.06545180731078948,0.10197729786863025,0.050520125215449976,True,0,36.975628567204275,9.0,B,N20
fibonacci_radial,20,380,0,250,0.003814697265625,0.008733929569591951,28624,0.9636768481821725,0.9534185222378612,9139.114582779815,1522255.2299263855,2041412.2626126907,256,15948.533301661646,65536,15580,0,1813,0.0276641845703125,0.062762091137825,28616,0.8410841811796096,0.9916074494223456,8680.733097690687,1521982.6501451104,2041412.2626126907,256,15948.533301661646,65536,15580,1813,13767,0.8836328626444159,8.593491450634307,313,190,9.132792082384018,1521.2021236099538,265.17911725642057,103.03144033082499,166.56484784583645,0.9288133748246409,0.07401525386979954,0.7649969977427681,0.024183559805421972,19,1.0,3,0.3857952107610735,0.021455776004865913,-0.17450413905872098,2.5941285247633314,0.47851502403464696,0.13105569789601404,0.050520125215449976,True,0,9.132792082384018,9.0,B,N20
fibonacci_golden_angle,20,380,0,374,0.005706787109375,0.008754681647940075,42720,0.9989917040668334,0.984837988666193,172177.5002192582,1867613.8981504315,2041412.2626126907,256,15948.533301661646,65536,15580,0,9018,0.137603759765625,0.21341868183973448,42180,0.9799499301219102,0.9980744208799038,154259.76995663613,1854020.9647220166,2041412.2626126907,256,15948.533301661646,65536,15580,9018,6562,0.42118100128369707,1.727655799512087,11,190,172.05838667675647,1866.3218704049316,907.0688780766694,875.9519498322109,10.847026445221545,0.8839903822881606,1.043896277049448,-2.02074739682213,0.5165508844383162,17,1.0,2,0.1238739315634235,0.009025146492638983,-0.1238739315634235,1.4205908491848032,0.0,0.07176842758073868,0.050520125215449976,True,0,172.05838667675647,9.0,B,N20
fibonacci_rational,20,380,0,250,0.003814697265625,0.008656799776598716,28648,0.9629372272981508,0.937802253496974,9504.266327145955,1522930.0529238363,2041412.2626126907,256,15948.533301661646,65536,15580,0,1785,0.0272369384765625,0.061784417760402124,28648,0.8420981883532351,0.9916246187539947,9063.759207765332,1522929.1623767312,2041412.2626126907,256,15948.533301661646,65536,15580,1785,13795,0.8854300385109114,8.72829131652661,322,190,9.497691212339058,1521.8764797603565,265.1813356005735,103.28416548364243,160.23646649863593,0.924562456569134,0.07329141304645374,0.7593257725365407,0.022810341599977635,19,1.0,3,0.38562785492437085,0.021668324022316315,-0.17223920110302077,2.5942314134553808,0.4703167773456003,0.1310608958456196,0.050520125215449976,True,0,9.497691212339058,9.0,B,N20
