model,n_times,n_samples,unique_cells,redundant_samples,redundancy_fraction,mean_multiplicity,max_multiplicity
golden,1,380,376,4,0.010526315789473684,1.0106382978723405,2
golden,3,1140,1090,50,0.043859649122807015,1.0458715596330275,3
golden,5,1900,1762,138,0.07263157894736842,1.0783200908059023,4
golden,9,3420,2926,494,0.14444444444444443,1.1688311688311688,7
golden,17,6460,4690,1770,0.2739938080495356,1.3773987206823028,13
golden,25,9500,5770,3730,0.39263157894736844,1.6464471403812826,19
golden,33,12540,6440,6100,0.4864433811802233,1.9472049689440993,25
golden,41,15580,6872,8708,0.5589216944801026,2.2671711292200234,32
fibonacci_radial,1,380,246,134,0.3526315789473684,1.5447154471544715,8
fibonacci_radial,3,1140,573,567,0.49736842105263157,1.9895287958115184,22
fibonacci_radial,5,1900,821,1079,0.5678947368421052,2.3142509135200973,37
fibonacci_radial,9,3420,1107,2313,0.6763157894736842,3.089430894308943,67
fibonacci_radial,17,6460,1469,4991,0.7726006191950464,4.3975493533015655,128
fibonacci_radial,25,9500,1667,7833,0.8245263157894737,5.698860227954409,189
fibonacci_radial,33,12540,1741,10799,0.861164274322169,7.2027570361860995,250
fibonacci_radial,41,15580,1813,13767,0.8836328626444159,8.593491450634307,313
fibonacci_golden_angle,1,380,370,10,0.02631578947368421,1.027027027027027,2
fibonacci_golden_angle,3,1140,1098,42,0.03684210526315789,1.0382513661202186,2
fibonacci_golden_angle,5,1900,1806,94,0.049473684210526316,1.052048726467331,3
fibonacci_golden_angle,9,3420,3138,282,0.0824561403508772,1.089866156787763,3
fibonacci_golden_angle,17,6460,5394,1066,0.165015479876161,1.1976269929551353,4
fibonacci_golden_angle,25,9500,7082,2418,0.2545263157894737,1.341428974865857,7
fibonacci_golden_angle,33,12540,8272,4268,0.34035087719298246,1.5159574468085106,9
fibonacci_golden_angle,41,15580,9018,6562,0.42118100128369707,1.727655799512087,11
random,1,380,378,2,0.005263157894736842,1.0052910052910053,2
random,3,1140,1126,14,0.012280701754385965,1.0124333925399644,2
random,5,1900,1850,50,0.02631578947368421,1.027027027027027,2
random,9,3420,3222,198,0.05789473684210526,1.0614525139664805,5
random,17,6460,5514,946,0.14643962848297212,1.171563293434893,9
random,25,9500,7244,2256,0.2374736842105263,1.311430149088901,15
random,33,12540,8464,4076,0.32503987240829346,1.481568998109641,19
random,41,15580,9266,6314,0.4052631578947368,1.6814159292035398,23
