sampling,n_cells,cell_size_lambda,contested_cells,exactly_quadratic,weighting,n_configurations,degenerate,degenerate_exact,degenerate_surrogate,pearson_r,spearman_rho,surrogate_argmax_is_exact_argmax,best_exact_cells,cells_at_surrogate_optimum,coverage_shortfall_cells,coverage_shortfall_percent,mean_relative_overcount,max_relative_overcount
snapshot,8,172601.51897876963,10,False,count,70,False,False,False,0.6395975764790361,0.6182311258857492,False,12.0,10.0,2.0,16.666666666666668,0.29478664192949905,1.2
snapshot,8,172601.51897876963,10,False,shared,70,False,False,False,0.7757931118779974,0.8060362173038229,True,12.0,12.0,0.0,0.0,-0.4058906754621041,-0.12121212121212127
snapshot,8,172601.51897876963,10,False,radial,70,False,False,False,0.7637276338660048,0.7711486309159303,False,12.0,11.0,1.0,8.333333333333334,0.7708028345904893,2.0671283280478097
snapshot,12,115067.67931917975,12,False,count,70,True,False,True,,,False,12.0,8.0,4.0,33.333333333333336,0.13285714285714284,0.5
snapshot,12,115067.67931917975,12,False,shared,70,False,False,False,0.6499851288790818,0.679188172513341,True,12.0,12.0,0.0,0.0,-0.24384920634920632,0.0
snapshot,12,115067.67931917975,12,False,radial,70,False,False,False,0.5366848533732057,0.6127372933251685,True,12.0,12.0,0.0,0.0,1.1662257911122065,2.6207181498921983
snapshot,16,86300.75948938481,10,False,count,70,True,False,True,,,False,12.0,8.0,4.0,33.333333333333336,0.05,0.5
snapshot,16,86300.75948938481,10,False,shared,70,False,False,False,0.3986932757776266,0.741579914268218,True,12.0,12.0,0.0,0.0,-0.1414285714285714,0.0
snapshot,16,86300.75948938481,10,False,radial,70,False,False,False,0.21294088905111824,0.5147231213367159,True,12.0,12.0,0.0,0.0,1.3355927759227353,2.5524280704407367
snapshot,24,57533.839659589874,2,False,count,70,True,False,True,,,True,12.0,12.0,0.0,0.0,0.014285714285714285,0.2
snapshot,24,57533.839659589874,2,False,shared,70,False,False,False,0.6999132392733551,0.5440118974717872,True,12.0,12.0,0.0,0.0,-0.023809523809523808,0.0
snapshot,24,57533.839659589874,2,False,radial,70,False,False,False,-0.11442093718723358,0.40194208730644737,True,12.0,12.0,0.0,0.0,1.5572679627707466,2.4805872802513824
snapshot,32,43150.37974469241,0,True,count,70,True,True,True,,,True,12.0,12.0,0.0,0.0,0.0,0.0
snapshot,32,43150.37974469241,0,True,shared,70,True,True,True,,,True,12.0,12.0,0.0,0.0,0.0,0.0
snapshot,32,43150.37974469241,0,True,radial,70,True,True,False,,,True,12.0,12.0,0.0,0.0,1.635616234497721,2.5417900745694624
snapshot,64,21575.189872346204,0,True,count,70,True,True,True,,,True,12.0,12.0,0.0,0.0,0.0,0.0
snapshot,64,21575.189872346204,0,True,shared,70,True,True,True,,,True,12.0,12.0,0.0,0.0,0.0,0.0
snapshot,64,21575.189872346204,0,True,radial,70,True,True,False,,,True,12.0,12.0,0.0,0.0,1.6388831106089388,2.5334803092830236
snapshot,128,10787.594936173102,0,True,count,70,True,True,True,,,True,12.0,12.0,0.0,0.0,0.0,0.0
snapshot,128,10787.594936173102,0,True,shared,70,True,True,True,,,True,12.0,12.0,0.0,0.0,0.0,0.0
snapshot,128,10787.594936173102,0,True,radial,70,True,True,False,,,True,12.0,12.0,0.0,0.0,1.6413552289224582,2.544173686676462
snapshot,256,5393.797468086551,0,True,count,70,True,True,True,,,True,12.0,12.0,0.0,0.0,0.0,0.0
snapshot,256,5393.797468086551,0,True,shared,70,True,True,True,,,True,12.0,12.0,0.0,0.0,0.0,0.0
snapshot,256,5393.797468086551,0,True,radial,70,True,True,False,,,True,12.0,12.0,0.0,0.0,1.6389878576020873,2.532772321402105
earth_rotation,8,173231.6037732186,24,False,count,70,False,False,False,0.8642350198453292,0.8778409587962557,False,25.0,21.0,4.0,16.0,0.663966417798817,1.75
