layout,n_antennas,unique_cells,samples_outside_grid,redundancy_fraction,cornwell_F,gaussian_chi2,d_min_m,d_max_m,separation_violations,feasible,psf_peak,psf_main_lobe_radius_px,psf_peak_sidelobe_level,psf_sidelobe_rms,psf_min_value,psf_fwhm_px,psf_ellipticity,psf_fwhm_arcsec,psf_pixel_scale_arcsec,alpha
1/PHI^2 (golden angle),20.0,9018,0.0,0.42118100128369707,34.564032820046755,0.25124644367705606,172.05838667675644,1866.3218704049311,0.0,True,1.0,2.0,0.1238739315634235,0.009025146492638983,-0.1238739315634235,1.4205908491848032,0.0,0.07176842758073868,0.050520125215449976,0.38196601125010515
sqrt(2)-1,20.0,9240,0.0,0.4069319640564827,34.06910024605633,0.17106244541829407,174.24679367918012,1898.6036021654688,0.0,True,1.0,2.0,0.1333208658060054,0.008825981726466921,-0.1333208658060054,1.4458964319229466,0.0,0.07304686878931961,0.050520125215449976,0.41421356237309515
sqrt(3)-1,20.0,9382,0.0,0.39781771501925545,37.78429567069235,0.1434459193376719,160.26746827437202,1926.2407873591433,0.0,True,1.0,2.0,0.14883607526159956,0.008768418025801852,-0.14883607526159956,1.4264481255343708,0.0,0.07206433791534032,0.050520125215449976,0.7320508075688772
1/e,20.0,9338,0.0,0.4006418485237484,33.58746624157611,0.1963513565771528,170.91384854953273,1866.001729327403,0.0,True,1.0,2.0,0.12211079932792299,0.008801353254872597,-0.12211079932792299,1.4254627132060111,0.0,0.07201455476112274,0.050520125215449976,0.36787944117144233
1/pi,20.0,9180,0.0,0.41078305519897307,32.4002343431605,0.21518461548578896,166.10130431142716,1764.3809494544066,0.0,True,1.0,2.0,0.1278871289906608,0.008895210163008638,-0.1278871289906608,1.4293924053124023,0.0,0.07221308329839579,0.050520125215449976,0.3183098861837907
1/2 (rational),20.0,5252,0.0,0.6629011553273427,237.99669944795963,0.9479393538863886,61.45662040123477,1969.687165031002,0.0,True,1.0,2.0,0.6813209418654527,0.010995724294457955,-0.3380752311371731,1.202266762795625,1.0,0.06073866739880867,0.050520125215449976,0.5
1/3 (rational),20.0,8672,0.0,0.44338896020539154,46.74737946240596,0.3043221650331327,93.50368579223833,1705.8664552235207,0.0,True,1.0,2.0,0.19679834355658465,0.00925226396918435,-0.19679834355658465,1.4105077005796738,0.0,0.07125902565064154,0.050520125215449976,0.3333333333333333
3/8 (Fibonacci ratio),20.0,8972,0.0,0.4241335044929397,36.31602333769154,0.18047505145890017,171.50600281798015,1873.4624945405753,0.0,True,1.0,2.0,0.11220133222227106,0.009029608726931437,-0.11220133222227106,1.4402180938771143,0.0,0.0727599984402285,0.050520125215449976,0.375
5/13 (Fibonacci ratio),20.0,9328,0.0,0.4012836970474968,33.406346563279904,0.2145061031319297,172.26131670693044,1859.865385767067,0.0,True,1.0,2.0,0.13436404117728573,0.008794292479913394,-0.13436404117728573,1.4317040246476829,0.0,0.07232986659666461,0.050520125215449976,0.38461538461538464
21/55 (Fibonacci ratio),20.0,8996,0.0,0.42259306803594354,34.190734794127195,0.2642621870086083,172.0469463443276,1866.6215385820306,0.0,True,1.0,2.0,0.12003466341507996,0.009045884261334052,-0.12003466341507996,1.4180972859086998,0.0,0.07164245245179728,0.050520125215449976,0.38181818181818183
,,8610,,,,,,,,,,,,,,,,,,0.05
,,8764,,,,,,,,,,,,,,,,,,0.055
,,8932,,,,,,,,,,,,,,,,,,0.06
,,8726,,,,,,,,,,,,,,,,,,0.065
,,8790,,,,,,,,,,,,,,,,,,0.07
,,8980,,,,,,,,,,,,,,,,,,0.075
,,9126,,,,,,,,,,,,,,,,,,0.08
,,9086,,,,,,,,,,,,,,,,,,0.08499999999999999
,,8858,,,,,,,,,,,,,,,,,,0.09
,,9254,,,,,,,,,,,,,,,,,,0.095
,,8936,,,,,,,,,,,,,,,,,,0.09999999999999999
,,9224,,,,,,,,,,,,,,,,,,0.105
,,9124,,,,,,,,,,,,,,,,,,0.10999999999999999
,,9374,,,,,,,,,,,,,,,,,,0.11499999999999999
,,9170,,,,,,,,,,,,,,,,,,0.12
,,9030,,,,,,,,,,,,,,,,,,0.12499999999999999
,,9098,,,,,,,,,,,,,,,,,,0.13
,,9100,,,,,,,,,,,,,,,,,,0.135
,,9258,,,,,,,,,,,,,,,,,,0.13999999999999999
,,9140,,,,,,,,,,,,,,,,,,0.145
,,9078,,,,,,,,,,,,,,,,,,0.14999999999999997
