beta,weighted_cells,weighted_sum_sq,unique_cells,on_front
0.0,711.0084235860444,2182916.620934232,763,True
0.25,707.3116726835084,904708.31286819,766,True
0.5,677.737665463283,680510.2286287579,742,True
0.75,655.5571600481195,626303.5378902946,725,True
1.0,597.6413959085343,451984.48132754193,678,False
1.25,597.6413959085397,451984.481323012,678,False
1.5,606.2671480144239,415292.99636060366,685,True
1.75,576.6931407942047,387868.03366075276,660,True
2.0,507.68712394703977,288760.60646019015,604,True
2.25,574.2286401925264,359033.37661221885,658,True
2.5,532.3321299638897,296831.8459218829,624,True
2.75,354.88808664258426,126904.5294314317,481,True
3.0,354.88808664258323,126904.52942701991,481,True
