true_cells,qubo_energy
36,-18.0
48,-36.0
48,-28.0
50,-28.0
44,-30.0
46,-32.0
54,-42.0
46,-38.0
48,-40.0
42,-28.0
50,-46.0
40,-22.0
48,-36.0
46,-34.0
46,-32.0
56,-54.0
44,-36.0
50,-40.0
52,-26.0
54,-38.0
48,-40.0
56,-40.0
60,-46.0
46,-34.0
60,-56.0
68,-62.0
49,-39.0
42,-10.0
50,-34.0
52,-28.0
46,-24.0
48,-12.0
58,-42.0
42,-22.0
54,-36.0
46,-26.0
44,-10.0
56,-44.0
54,-30.0
46,-26.0
50,-36.0
60,-44.0
56,-38.0
60,-44.0
54,-40.0
64,-54.0
63,-51.0
52,-44.0
50,-30.0
56,-42.0
42,-16.0
54,-40.0
56,-40.0
56,-50.0
52,-36.0
64,-56.0
64,-54.0
52,-26.0
60,-44.0
74,-70.0
55,-31.0
48,-32.0
52,-42.0
48,-36.0
52,-44.0
62,-56.0
52,-34.0
58,-50.0
66,-64.0
57,-42.0
60,-40.0
56,-46.0
58,-50.0
66,-54.0
61,-55.0
72,-68.0
79,-77.0
46,-36.0
48,-42.0
44,-28.0
42,-30.0
48,-38.0
52,-42.0
48,-34.0
54,-40.0
52,-42.0
54,-42.0
60,-48.0
48,-24.0
44,-28.0
60,-56.0
54,-38.0
44,-14.0
62,-48.0
56,-46.0
56,-38.0
64,-58.0
50,-42.0
50,-42.0
50,-46.0
48,-40.0
54,-46.0
54,-46.0
52,-48.0
50,-46.0
56,-50.0
52,-44.0
48,-38.0
54,-48.0
62,-58.0
50,-38.0
46,-30.0
52,-38.0
54,-44.0
54,-38.0
60,-50.0
56,-46.0
62,-58.0
66,-60.0
61,-53.0
48,-28.0
66,-58.0
64,-60.0
54,-42.0
64,-58.0
68,-60.0
72,-70.0
50,-40.0
58,-40.0
50,-34.0
50,-28.0
62,-54.0
58,-44.0
52,-44.0
58,-48.0
62,-52.0
54,-36.0
62,-46.0
54,-40.0
62,-52.0
64,-52.0
52,-34.0
44,-28.0
52,-40.0
54,-40.0
60,-42.0
64,-46.0
56,-42.0
64,-54.0
69,-61.0
46,-14.0
70,-56.0
58,-50.0
44,-20.0
72,-62.0
64,-46.0
70,-60.0
56,-46.0
56,-50.0
52,-46.0
60,-54.0
64,-54.0
56,-38.0
58,-48.0
70,-66.0
61,-49.0
64,-52.0
62,-48.0
62,-56.0
68,-60.0
60,-50.0
66,-56.0
72,-66.0
56,-42.0
60,-50.0
60,-54.0
60,-48.0
65,-61.0
74,-66.0
81,-81.0
74,-62.0
76,-68.0
44,-40.0
46,-36.0
54,-50.0
44,-36.0
40,-30.0
48,-44.0
60,-58.0
44,-26.0
54,-48.0
54,-44.0
44,-34.0
52,-40.0
60,-54.0
56,-32.0
50,-22.0
44,-20.0
52,-40.0
66,-54.0
50,-30.0
58,-46.0
64,-56.0
50,-40.0
54,-42.0
52,-46.0
68,-64.0
67,-63.0
42,-28.0
46,-38.0
52,-46.0
48,-40.0
38,-32.0
54,-50.0
58,-44.0
56,-48.0
50,-36.0
48,-40.0
64,-58.0
46,-38.0
60,-54.0
48,-40.0
58,-56.0
46,-38.0
52,-48.0
70,-68.0
55,-53.0
44,-22.0
54,-42.0
46,-24.0
46,-28.0
54,-42.0
50,-34.0
56,-48.0
52,-38.0
60,-56.0
52,-48.0
56,-50.0
66,-62.0
57,-48.0
50,-28.0
56,-28.0
60,-44.0
56,-38.0
58,-50.0
54,-38.0
66,-50.0
63,-57.0
58,-46.0
46,-34.0
68,-60.0
66,-64.0
75,-73.0
42,-30.0
58,-56.0
52,-42.0
38,-22.0
42,-26.0
60,-58.0
62,-58.0
56,-46.0
46,-36.0
52,-44.0
68,-68.0
58,-52.0
64,-62.0
70,-66.0
56,-52.0
54,-36.0
50,-40.0
68,-66.0
69,-65.0
52,-42.0
48,-30.0
34,-10.0
42,-18.0
56,-50.0
62,-54.0
62,-58.0
70,-58.0
56,-50.0
54,-38.0
46,-28.0
64,-60.0
67,-54.0
54,-32.0
60,-46.0
70,-62.0
52,-34.0
56,-42.0
50,-36.0
66,-58.0
73,-71.0
62,-56.0
64,-52.0
78,-76.0
66,-60.0
81,-79.0
52,-46.0
56,-52.0
44,-30.0
40,-28.0
56,-54.0
54,-50.0
64,-60.0
54,-48.0
64,-60.0
48,-36.0
46,-38.0
66,-64.0
59,-52.0
60,-56.0
68,-62.0
66,-62.0
68,-66.0
62,-56.0
54,-48.0
72,-70.0
71,-71.0
70,-70.0
52,-42.0
74,-74.0
66,-62.0
81,-81.0
52,-30.0
54,-42.0
60,-48.0
58,-50.0
56,-48.0
48,-22.0
58,-48.0
63,-52.0
66,-64.0
54,-36.0
76,-72.0
68,-66.0
77,-72.0
58,-46.0
60,-52.0
72,-64.0
68,-64.0
75,-71.0
76,-74.0
46,-40.0
54,-52.0
56,-52.0
48,-40.0
54,-50.0
60,-56.0
52,-46.0
54,-46.0
48,-44.0
58,-54.0
62,-62.0
50,-44.0
56,-52.0
64,-64.0
56,-52.0
56,-50.0
52,-46.0
66,-64.0
70,-68.0
52,-36.0
54,-38.0
48,-36.0
54,-46.0
56,-46.0
56,-44.0
62,-58.0
66,-62.0
60,-54.0
60,-56.0
58,-50.0
