radial,angular,replicate,radial_idx,angular_idx,unique_cells,peak_sidelobe,fwhm_arcsec,feasible
linear,golden,0,0,0,1802,0.09566099128789268,0.03447157522191624,True
linear,golden,1,0,0,1804,0.10102154613963726,0.03447971462357377,True
linear,golden,2,0,0,1812,0.0990986172024341,0.03438259688987501,True
linear,golden,3,0,0,1794,0.1051258356158453,0.03451708848368899,True
linear,golden,4,0,0,1796,0.10284912798055099,0.034380664273598434,True
linear,uniform,0,0,1,1303,0.16655457814185262,0.04143072894538282,True
linear,uniform,1,0,1,1272,0.1600805479629445,0.04153309132951115,True
linear,uniform,2,0,1,1294,0.16945826291445862,0.04087266439921564,True
linear,uniform,3,0,1,1291,0.16748096662303336,0.04135103134712759,True
linear,uniform,4,0,1,1294,0.1690228239236454,0.04119381114723057,True
linear,rational,0,0,2,1714,0.09858925461565753,0.03510353523307725,True
linear,rational,1,0,2,1718,0.10871803557575181,0.03515793099029977,True
linear,rational,2,0,2,1726,0.10670134196410508,0.03488789277359706,True
linear,rational,3,0,2,1708,0.09751950374518527,0.03491209632860504,True
linear,rational,4,0,2,1702,0.11235814853326159,0.035046361185388945,True
linear,random,0,0,3,1680,0.14271831271225294,0.035716012588540104,True
linear,random,1,0,3,1764,0.1477706411567941,0.034275815390751745,True
linear,random,2,0,3,1814,0.13501238157728318,0.03455329238382104,True
linear,random,3,0,3,1431,0.10893207500706785,0.03533700590959536,True
linear,random,4,0,3,1661,0.1051574356399925,0.035898736143637415,True
linear,multi_arm,0,0,4,1710,0.1496588029350116,0.0360960322520802,True
linear,multi_arm,1,0,4,1706,0.14675036874382774,0.036248762754450575,True
linear,multi_arm,2,0,4,1680,0.14618073172630885,0.03644321341981352,True
linear,multi_arm,3,0,4,1704,0.14073875658096896,0.03648300841959926,True
linear,multi_arm,4,0,4,1706,0.14319938836876225,0.0364089229167449,True
sqrt,golden,0,1,0,2262,0.10304594238959765,0.029912555135718145,True
sqrt,golden,1,1,0,2280,0.10697726593066537,0.029743556863635136,True
sqrt,golden,2,1,0,2292,0.10374463356259045,0.029577266022366936,True
sqrt,golden,3,1,0,2314,0.10533363995473112,0.029507396198746278,True
sqrt,golden,4,1,0,2270,0.10309715134221666,0.02980390803929621,True
sqrt,uniform,0,1,1,1798,0.1350228785051706,0.034045008585840426,True
sqrt,uniform,1,1,1,1826,0.14076320572220904,0.03391632362297951,True
sqrt,uniform,2,1,1,1810,0.13380032338736378,0.03396869680801004,True
sqrt,uniform,3,1,1,1806,0.13191305604043377,0.033973396305281164,True
sqrt,uniform,4,1,1,1792,0.1350081775142187,0.03414021221954556,True
sqrt,rational,0,1,2,2264,0.09427935167624268,0.03063364568414663,True
sqrt,rational,1,1,2,2250,0.10074285059404636,0.03058201349428297,True
sqrt,rational,2,1,2,2284,0.09804579787070769,0.030574481997088388,True
sqrt,rational,3,1,2,2290,0.10140640535932138,0.03055813052806568,True
sqrt,rational,4,1,2,2264,0.08435947910930088,0.030643141730999923,True
sqrt,random,0,1,3,2168,0.09036124234814097,0.03156388423392004,True
sqrt,random,1,1,3,2096,0.07931864545743952,0.032016988944557456,True
sqrt,random,2,1,3,2082,0.10144875593926993,0.03157067422963272,True
sqrt,random,3,1,3,2111,0.16301610118284485,0.03162004299099291,True
sqrt,random,4,1,3,2206,0.12068672107390924,0.03125906919064076,True
sqrt,multi_arm,0,1,4,1782,0.1760422081480856,0.033406428678956164,True
sqrt,multi_arm,1,1,4,1758,0.17803723790711434,0.0337517913984503,True
sqrt,multi_arm,2,1,4,1786,0.1732812410176761,0.03350685118426302,True
sqrt,multi_arm,3,1,4,1794,0.17620834422769008,0.03349782367690335,True
sqrt,multi_arm,4,1,4,1762,0.1771100451088615,0.03370352528845248,True
power,golden,0,2,0,1363,0.0887547030267067,0.04055712670354023,True
power,golden,1,2,0,1359,0.08944024117004469,0.040607563286479215,True
power,golden,2,2,0,1371,0.09043095414161853,0.040458275089409745,True
power,golden,3,2,0,1357,0.08836777059555873,0.04052429497792222,True
power,golden,4,2,0,1353,0.08008072204037867,0.04047882496120492,True
power,uniform,0,2,1,797,0.1330339693476372,0.05334355578165773,False
power,uniform,1,2,1,797,0.13183565089340255,0.054347483727199004,False
power,uniform,2,2,1,807,0.13261028094707014,0.05365814323934203,False
power,uniform,3,2,1,819,0.13347088587928635,0.05352568379309658,False
power,uniform,4,2,1,793,0.1339553598873997,0.05389508388890186,False
power,rational,0,2,2,1277,0.08041586409214535,0.04098412988446429,True
power,rational,1,2,2,1287,0.08163040799360155,0.04085804051004339,True
power,rational,2,2,2,1297,0.09697703083334502,0.04055008333316742,True
power,rational,3,2,2,1303,0.09350650657818448,0.04054649124164845,True
power,rational,4,2,2,1265,0.07951903268508594,0.04096651303607029,True
power,random,0,2,3,1187,0.1802956723291031,0.040694987856066005,True
power,random,1,2,3,1143,0.07794436377017146,0.04226314047667297,True
power,random,2,2,3,1311,0.13357524882510063,0.04095183399109093,True
power,random,3,2,3,1073,0.1924216630023105,0.04612921435321121,True
power,random,4,2,3,959,0.12741501305725977,0.04523137637847506,True
power,multi_arm,0,2,4,1377,0.10723067456542242,0.04109832497107464,True
power,multi_arm,1,2,4,1355,0.10479208349121992,0.04137463148187842,True
power,multi_arm,2,2,4,1393,0.10667820524979466,0.040558212376467916,True
power,multi_arm,3,2,4,1359,0.11159165537384824,0.04126046009380065,True
power,multi_arm,4,2,4,1361,0.11396239447651331,0.04139592908802869,True
exponential,golden,0,3,0,1209,0.08970930535145949,0.04337764944678587,True
exponential,golden,1,3,0,1197,0.09464333423272624,0.04368083284304324,True
exponential,golden,2,3,0,1213,0.08818096323062044,0.043250554924676554,True
exponential,golden,3,3,0,1205,0.06513553383645503,0.043709546105358356,True
exponential,golden,4,3,0,1215,0.098267457080261,0.04315241843634539,True
exponential,uniform,0,3,1,725,0.13355323664825328,0.057378582733199394,True
exponential,uniform,1,3,1,721,0.1261784860495223,0.057281020033574284,True
exponential,uniform,2,3,1,731,0.13968544692015392,0.056614207587006984,False
exponential,uniform,3,3,1,729,0.12755578636779769,0.05699100208829486,False
exponential,uniform,4,3,1,727,0.12735623986486444,0.056851786219011116,True
exponential,rational,0,3,2,1221,0.09243491295818702,0.0429305112426242,True
exponential,rational,1,3,2,1199,0.09015357878877381,0.0430287818671366,True
exponential,rational,2,3,2,1193,0.07956341779811082,0.04336509663869973,True
exponential,rational,3,3,2,1211,0.09275700689447247,0.04304434963468911,True
exponential,rational,4,3,2,1207,0.08189249683945314,0.0431267704640262,True
exponential,random,0,3,3,1131,0.1155871406020907,0.044119605008570026,True
exponential,random,1,3,3,1163,0.1040266570723247,0.04339978501584011,True
exponential,random,2,3,3,997,0.08539809453153686,0.046686970901412966,True
exponential,random,3,3,3,1051,0.10279638409784052,0.045021217976690245,True
exponential,random,4,3,3,1143,0.1039444973704905,0.04415064513686693,True
exponential,multi_arm,0,3,4,1291,0.12776718537004622,0.043315008822019496,True
exponential,multi_arm,1,3,4,1287,0.11894534444181316,0.043340895278134256,True
exponential,multi_arm,2,3,4,1279,0.10938749721208721,0.04336232963523185,True
exponential,multi_arm,3,3,4,1279,0.1103968653516855,0.043172165230895274,True
