pad_id,latitude_deg,longitude_deg,elevation_m,east_m,north_m,radius_from_centre_m
P001,32.7791336,78.9641366,4488.0,-5.93,-29.66,30.2
P002,32.7794228,78.9637927,4491.0,-38.12,2.54,38.2
P003,32.7791336,78.9644806,4487.0,26.27,-29.66,39.6
P004,32.7797121,78.9634487,4495.0,-70.32,34.74,78.4
P005,32.7788443,78.9648246,4481.0,58.46,-61.86,85.1
P006,32.7791336,78.9651686,4480.0,90.66,-29.66,95.4
P007,32.7800013,78.9634487,4498.0,-70.32,66.94,97.1
P008,32.7794228,78.9655126,4477.0,122.85,2.54,122.9
P009,32.7791336,78.9655126,4476.0,122.85,-29.66,126.4
P010,32.7797121,78.9655126,4478.0,122.85,34.74,127.7
P011,32.7797121,78.9627607,4504.0,-134.71,34.74,139.1
P012,32.7797121,78.9658566,4474.0,155.05,34.74,158.9
P013,32.7805798,78.9631047,4503.0,-102.52,131.34,166.6
P014,32.7805798,78.9627607,4501.0,-134.71,131.34,188.1
P015,32.7808691,78.9631047,4499.0,-102.52,163.54,193.0
P016,32.7802906,78.9624167,4504.0,-166.91,99.14,194.1
