pad_id,latitude_deg,longitude_deg,elevation_m,east_m,north_m,radius_from_centre_m
P001,32.7743609,78.9605247,4280.0,-343.98,-560.95,658.0
P002,32.7854971,78.9689526,4275.0,444.81,678.73,811.5
P003,32.7713238,78.9665446,4272.0,219.44,-899.04,925.4
P004,32.7875219,78.9701566,4262.0,557.49,904.12,1062.2
P005,32.7733485,78.9737685,4275.0,895.55,-673.65,1120.6
P006,32.7773981,78.9520968,4282.0,-1132.77,-222.86,1154.5
P007,32.7784104,78.9773804,4262.0,1233.60,-110.16,1238.5
P008,32.7834723,78.9508929,4274.0,-1245.46,453.33,1325.4
P009,32.7703114,78.9737685,4274.0,895.55,-1011.74,1351.2
P010,32.7824600,78.9785844,4293.0,1346.28,340.63,1388.7
P011,32.7672742,78.9677486,4268.0,332.12,-1349.83,1390.1
P012,32.7703114,78.9533008,4281.0,-1020.09,-1011.74,1436.7
P013,32.7723361,78.9773804,4263.0,1233.60,-786.34,1462.9
P014,32.7925838,78.9653406,4266.0,106.76,1467.61,1471.5
P015,32.7723361,78.9508929,4279.0,-1245.46,-786.34,1472.9
P016,32.7662619,78.9617287,4275.0,-231.30,-1462.53,1480.7
