pad_id,latitude_deg,longitude_deg,elevation_m,east_m,north_m,radius_from_centre_m
P001,32.7620417,78.9589767,4273.0,-488.86,-1932.31,98.6
P002,32.7611747,78.9593207,4272.0,-456.67,-2028.83,140.9
P003,32.7617527,78.9558808,4275.0,-778.62,-1964.49,196.6
P004,32.7637758,78.9596647,4273.0,-424.47,-1739.28,274.9
P005,32.7631977,78.9555368,4274.0,-810.82,-1803.63,279.7
P006,32.7591517,78.9582887,4275.0,-553.25,-2254.03,291.0
P007,32.7594407,78.9600087,4277.0,-392.28,-2221.86,319.8
P008,32.7594407,78.9606967,4275.0,-327.88,-2221.86,361.7
P009,32.7614637,78.9620727,4272.0,-199.10,-1996.66,384.3
P010,32.7603077,78.9617287,4274.0,-231.30,-2125.34,385.9
P011,32.7634867,78.9617287,4274.0,-231.30,-1771.45,400.4
P012,32.7597297,78.9541608,4273.0,-939.60,-2189.69,422.6
P013,32.7637758,78.9541608,4278.0,-939.60,-1739.28,422.6
P014,32.7652208,78.9558808,4276.0,-778.62,-1578.42,433.2
P015,32.7649318,78.9606967,4269.0,-327.88,-1610.60,435.7
P016,32.7579957,78.9562248,4275.0,-746.43,-2382.72,449.4
