pad_id,latitude_deg,longitude_deg,elevation_m,east_m,north_m,radius_from_centre_m
P001,34.2663686,78.7414861,4508.0,-783.41,1822.15,31.6
P002,34.2655162,78.7407981,4511.0,-846.71,1727.25,89.5
P003,34.2655162,78.7421741,4508.0,-720.10,1727.25,89.5
P004,34.2652320,78.7414861,4513.0,-783.41,1695.62,94.9
P005,34.2660845,78.7404541,4507.0,-878.37,1790.51,95.0
P006,34.2669369,78.7411421,4507.0,-815.06,1885.41,100.0
P007,34.2669369,78.7418301,4502.0,-751.76,1885.41,100.0
P008,34.2652320,78.7418301,4514.0,-751.76,1695.62,100.0
P009,34.2658003,78.7404541,4508.0,-878.37,1758.88,100.1
P010,34.2663686,78.7404541,4508.0,-878.37,1822.15,100.1
P011,34.2663686,78.7425181,4506.0,-688.45,1822.15,100.1
P012,34.2652320,78.7407981,4511.0,-846.71,1695.62,114.1
P013,34.2669369,78.7421741,4505.0,-720.10,1885.41,114.1
P014,34.2652320,78.7421741,4513.0,-720.10,1695.62,114.1
P015,34.2655162,78.7404541,4509.0,-878.37,1727.25,114.1
P016,34.2655162,78.7425181,4509.0,-688.45,1727.25,114.1
