pad_id,latitude_deg,longitude_deg,elevation_m,east_m,north_m,radius_from_centre_m
P001,34.2523033,78.7526660,4550.0,245.31,256.40,354.8
P002,34.2500301,78.7540419,4553.0,371.92,3.35,371.9
P003,34.2500301,78.7567939,4558.0,625.14,3.35,625.2
P004,34.2545765,78.7444101,4585.0,-514.36,509.45,724.0
P005,34.2466203,78.7567939,4568.0,625.14,-376.22,729.6
P006,34.2568497,78.7540419,4535.0,371.92,762.50,848.4
P007,34.2579863,78.7471620,4578.0,-261.14,889.03,926.6
P008,34.2454837,78.7595459,4574.0,878.37,-502.75,1012.1
P009,34.2579863,78.7567939,4590.0,625.14,889.03,1086.8
P010,34.2557131,78.7402822,4578.0,-894.19,635.98,1097.3
P011,34.2420740,78.7581699,4585.0,751.76,-882.32,1159.2
P012,34.2613960,78.7457861,4535.0,-387.75,1268.60,1326.5
P013,34.2409374,78.7595459,4587.0,878.37,-1008.85,1337.6
P014,34.2602594,78.7581699,4533.0,751.76,1142.08,1367.3
P015,34.2545765,78.7361542,4586.0,-1274.03,509.45,1372.1
P016,34.2545765,78.7347782,4575.0,-1400.64,509.45,1490.4
