pad_id,latitude_deg,longitude_deg,elevation_m,east_m,north_m,radius_from_centre_m
P001,34.2665107,78.7414861,4506.0,-783.41,1837.96,47.4
P002,34.2673631,78.7425181,4503.0,-688.45,1932.86,171.1
P003,34.2673631,78.7394222,4487.0,-973.33,1932.86,237.3
P004,34.2639534,78.7404541,4512.0,-878.37,1553.28,255.5
P005,34.2686418,78.7425181,4489.0,-688.45,2075.20,300.1
P006,34.2656582,78.7450981,4513.0,-451.05,1743.07,335.7
P007,34.2639534,78.7383902,4516.0,-1068.28,1553.28,370.7
P008,34.2639534,78.7445821,4523.0,-498.53,1553.28,370.7
P009,34.2694942,78.7409701,4481.0,-830.89,2170.09,382.5
P010,34.2677894,78.7450981,4494.0,-451.05,1980.30,382.7
P011,34.2635271,78.7383902,4517.0,-1068.28,1505.83,402.7
P012,34.2648058,78.7373582,4509.0,-1163.24,1648.17,405.6
P013,34.2631009,78.7440661,4525.0,-546.01,1458.39,408.2
P014,34.2622485,78.7420021,4532.0,-735.93,1363.49,429.7
P015,34.2665107,78.7368422,4475.0,-1210.72,1837.96,429.9
P016,34.2639534,78.7456141,4525.0,-403.57,1553.28,447.8
