array,sky,uv_cells,fill_fraction,rms_error,rms_error_relative,max_error_relative,dynamic_range,flux_recovery,fidelity,pixels_compared,clean_iterations,clean_converged
searched (max cells),point,5204,0.317626953125,0.00031051509518047454,0.001407393886838447,0.08842269496713986,692.0625934461176,0.9749684440481332,12.050615542531846,13,35,True
searched (max cells),double,5204,0.317626953125,0.0009413377061000651,0.00426656524539774,0.09745939868033578,248.53084932056996,1.1334676006391904,11.863457087188175,22,63,True
searched (max cells),gaussian,5204,0.317626953125,0.0003811473444613695,0.029367848712145737,0.20346530478515665,29.545905626772605,0.42190730079579264,3.6785642877424896,233,1142,True
searched (max cells),disc with gap,5204,0.317626953125,0.0004070406806008592,0.014290508856150654,0.15023516791211253,63.82358367717691,0.8102575354879329,8.687975116237178,69,538,True
golden spiral,point,3350,0.2044677734375,0.0004622550745861087,0.008380568577551595,0.47642636632117513,169.47170877054333,0.9721867726421856,6.7096261531705235,57,34,True
golden spiral,double,3350,0.2044677734375,0.0012327713125539369,0.022203955027902667,0.5704827840061076,68.7713314607055,1.2513952223061517,3.952858953818616,89,59,True
golden spiral,gaussian,3350,0.2044677734375,0.0005274298507284729,0.04781085462215278,0.24192409653928224,21.428919919863663,0.9071484395080565,1.5801761096490017,277,599,True
golden spiral,disc with gap,3350,0.2044677734375,0.0005598889813987077,0.0231471895784922,0.25104968899431324,48.790680290720715,1.1425636810912907,2.1947764034488966,109,282,True
Reuleaux,point,5090,0.3106689453125,0.0003170602422224175,0.00143705943314606,0.08842253473339033,684.4403803316311,0.9749683005167186,12.671288640598203,13,35,True
Reuleaux,double,5090,0.3106689453125,0.0010120569068341062,0.004587096423612429,0.09723383762544645,232.334982612776,1.0270274598359832,12.160021422161169,22,63,True
Reuleaux,gaussian,5090,0.3106689453125,0.00040356376175952374,0.031095059885060634,0.18749545143483332,27.82740193548524,0.45109941443918206,3.2707001321066778,233,989,True
Reuleaux,disc with gap,5090,0.3106689453125,0.00044033184530431105,0.015459305260785115,0.15930965132393388,60.20340669911454,0.9389653161899372,8.433330228693457,69,514,True
random feasible,point,3700,0.225830078125,0.0004087243961027484,0.0018525225517374954,0.09824725765746102,529.935178830202,0.9721869996684825,10.178401146691535,13,34,True
random feasible,double,3700,0.225830078125,0.0011056129134268103,0.0050111342621479244,0.11543259265336114,212.22819994425936,1.0966308011197503,8.703125339734594,22,59,True
random feasible,gaussian,3700,0.225830078125,0.000491230464654367,0.03784988188532077,0.1780826923959057,25.214072897394033,0.7092595992905701,2.303209012711046,233,625,True
random feasible,disc with gap,3700,0.225830078125,0.0005196632039308896,0.01824449489183152,0.19219084683318696,56.70826154280202,0.988472963975918,3.717889720203498,69,314,True
compact core,point,1054,0.0643310546875,0.001035803169649893,0.042252416338975717,1.366329021457965,54.848007219324465,0.9656630646981925,0.8989216734071501,121,32,True
compact core,double,1054,0.0643310546875,0.0019373391335831879,0.07365741762485639,1.238262034292064,29.919757950566126,0.7663924590907456,0.7611993448893899,169,64,True
compact core,gaussian,1054,0.0643310546875,0.00116458112458742,0.1319597733386939,0.862274812926117,13.389929591913614,0.4022199844324297,0.3592381015839183,341,253,True
compact core,disc with gap,1054,0.0643310546875,0.0013507817309692323,0.08233714213618042,0.772423389164049,16.517632829433733,0.6997940603428385,0.6788321008330979,177,139,True
