setup,fractional_bandwidth,integration_s,beam_arcsec,bandwidth_field_arcsec,time_field_arcsec,primary_half_arcsec,binding_limit,usable_field_arcsec,primary_beam,response_at_0as,response_at_1as,response_at_2.5as,response_at_5as,response_at_10as,response_at_15as
spectral line,0.0005,2.0,0.539816226086603,107.96324521732059,427.3972708580071,9.704916053887938,primary beam,9.704916053887938,,,,,,,
narrow continuum,0.01,6.0,0.539816226086603,5.398162260866029,142.46575695266904,9.704916053887938,bandwidth smearing,5.398162260866029,,,,,,,
wide continuum,0.08,30.0,0.539816226086603,0.6747702826082537,28.493151390533807,9.704916053887938,bandwidth smearing,0.6747702826082537,,,,,,,
none (idealised),0.0,0.0,,,,,,,False,1.0,1.0,1.0,1.0,1.0,1.0
none (idealised),0.0,0.0,,,,,,,True,1.0,0.9916885137967848,0.9586274715577623,0.8283565755005186,0.47083560388283485,0.1947849865244581
spectral line,0.0005,2.0,,,,,,,False,0.9998572649711835,0.9992038565679744,0.9983381213374443,0.9965998184872961,0.9932997279895991,0.9901765717560458
spectral line,0.0005,2.0,,,,,,,True,0.9998572649711835,0.9908989874999103,0.9570343490174404,0.8255400127865743,0.4676808772646384,0.19287153018633554
narrow continuum,0.01,6.0,,,,,,,False,0.997244119816976,0.9860941219648142,0.9720459312269661,0.9436096714531343,0.8892906389120072,0.8379309033075173
narrow continuum,0.01,6.0,,,,,,,True,0.997244119816976,0.9778982142750325,0.9318299332901167,0.7816452760540881,0.41870969499948707,0.16321635970918177
wide continuum,0.08,30.0,,,,,,,False,0.9797580590265572,0.8914488085106743,0.7808053210261914,0.5587905703539142,0.2925345220192387,0.2015088385025622
wide continuum,0.08,30.0,,,,,,,True,0.9797580590265572,0.8840395440378648,0.7485014306741845,0.46287784328035003,0.13773566833150463,0.039250896392280764
